1,638,0.43976190476190485,0,0,227,0.29315384615384615,88,71,71,580,1503
2,1805,0.2473224568138195,0,0,1037,0.49553166986564307,399,40,57,389,4647
3,18194,0.5295141903171958,1,0.0005564830272676684,7762,0.6867790762381742,5962,1114,3353,7873,44151
4,3583,0.38009516616314176,488,0.20802416918429006,1094,0.5219138972809668,2114,494,47,886,8748
5,744,0.2972793650793653,18,0.042853968253968255,392,0.3331333333333334,277,188,87,514,1898
6,5457,0.4534214780600463,154,0.1189353348729792,4015,0.7311200923787535,2116,822,639,4391,15083
7,746,0.3890878787878788,0,0,355,0.343960606060606,373,130,44,455,1847
8,0,0,0,0,0,0,1,0,0,0,0
10,321,0.3090724637681159,230,0.2928840579710145,100,0.22045410628019324,94,97,24,219,972
11,34,0.16094915254237288,8,0.0734406779661017,5,0.0423728813559322,16,6,4,20,81
12,14,0.014814814814814815,0,0,15,0.2222222222222222,1,0,0,0,43
13,528,0.4216573604060915,7,0.01649746192893401,317,0.29080964467005077,182,138,105,967,1380
14,29,0.26017391304347826,0,0,18,0.23769565217391303,10,0,0,0,76
15,583,0.31855916473317875,183,0.1482018561484919,293,0.2687401392111369,217,140,135,870,1642
16,6149,0.4943761726078798,2,0.001876172607879925,2686,0.6237964352720449,4328,1380,865,5183,14986
17,1745,0.26675834970530454,0,0,902,0.46854420432220045,685,111,20,259,4392
19,80,0.2130327868852459,0,0,27,0.09016393442622951,14,18,5,49,187
20,38,0.26074358974358974,25,0.25394871794871793,7,0.07692307692307693,65,14,5,49,108
21,39,0.11022105263157894,11,0.08842105263157896,19,0.07856842105263158,19,20,7,22,108
22,3345,0.40046508172362516,984,0.2961991084695395,2211,0.6836136701337302,4312,1113,68,1536,9885
23,2264,0.5520086655112662,1,0.0017331022530329288,916,0.41173483535528593,635,478,576,2350,5445
24,929,0.36176178660049624,70,0.09025310173697271,280,0.2483697270471464,345,151,83,521,2208
25,804,0.5146367713004483,4,0.01569506726457399,494,0.5293587443946188,558,173,173,1142,2106
26,11,0.20572,6,0.136,4,0.08,5,1,4,16,32
27,1424,0.3464564315352697,0,0,852,0.4826203319502074,1481,81,6,81,3700
28,264,0.27124778761061946,0,0,181,0.2360929203539823,100,50,79,438,709
29,3064,0.37901580135440116,868,0.2865564334085778,1411,0.4465925507900677,1428,351,147,1896,8407
30,69,0.11454193548387095,13,0.05161290322580645,33,0.07204516129032258,19,6,6,40,184
31,7897,0.46351121951219526,437,0.1845756097560975,3974,0.6519580487804877,3094,741,303,3016,20205
32,23,0.17016129032258062,15,0.2014516129032258,32,0.28674193548387095,24,7,0,21,93
33,5360,0.44516761133603217,1174,0.27242186234817783,1972,0.5087376518218624,4846,1262,148,2333,13866
35,649,0.3063543123543124,12,0.014216783216783217,251,0.2125104895104895,144,103,181,805,1561
36,130,0.20279310344827586,0,0,47,0.23085057471264372,26,0,0,0,307
37,2,0.4443333333333333,1,0.16666666666666666,0,0,1,0,0,1,5
38,3,0.076375,0,0,1,0.020833333333333332,6,2,0,3,7
39,16,0.05557831325301205,0,0,7,0.02208433734939759,5,4,11,39,39
40,1047,0.4406352583586626,35,0.07193313069908813,326,0.3737659574468085,364,134,111,688,2455
41,103,0.08358227848101266,0,0,55,0.2740632911392405,4,0,0,0,261
42,40,0.2746101694915254,0,0,13,0.06779661016949153,28,17,16,98,93
43,449,0.21913866231647633,0,0,185,0.11760195758564437,186,143,236,827,1083
44,8484,0.45653303964757685,197,0.09366255506607929,3881,0.681913656387665,2096,778,1206,6099,21046
45,161,0.4294594594594595,0,0,55,0.3175810810810811,36,15,15,183,377
46,5,0.125,0,0,0,0,0,1,2,4,10
47,597,0.23243925233644863,238,0.16368925233644863,271,0.22985046728971964,843,265,37,408,1703
48,662,0.2902489626556017,42,0.10027385892116181,342,0.39245228215767636,228,113,18,287,1708
49,8,0.2863636363636364,0,0,3,0.13636363636363635,2,3,0,8,19
50,103,0.2203829787234042,16,0.09202127659574469,60,0.22093617021276601,44,16,30,74,282
51,1104,0.4185255255255255,18,0.042042042042042045,323,0.3056156156156155,258,137,177,944,2549
52,77,0.19734545454545452,40,0.17498181818181818,17,0.12423636363636364,74,11,7,72,211
53,311,0.4072032967032968,41,0.1292032967032967,135,0.3260989010989011,191,88,10,124,798
54,13,0.11731578947368422,3,0.09210526315789473,8,0.20173684210526316,13,1,0,15,37
56,14,0.21546428571428572,0,0,24,0.2548214285714286,10,0,0,0,52
57,148,0.2411442307692308,65,0.1929807692307692,80,0.251375,68,12,7,82,441
58,817,0.5861612903225802,11,0.03994009216589862,456,0.518889400921659,244,107,288,1094,2101
59,114,0.3015901639344263,40,0.19631147540983607,68,0.22186065573770491,201,52,9,93,336
